Index,Dialogue,Try_Number,hhd_fs_count,hhd_ss_count,hcd_fs_count,hcd_ss_count
1,"EE: Good evening!  
EV: Good evening. Nice to meet you.  
EE: Do you have any favorite foods?  
EV: You like chicken, right? I'm not really a picky eater.  
EE: Chicken! You can prepare it in many different ways, can't you?  
EV: Yes, it's healthy and versatile. You can eat a lot of it.  
EE: Do you have any favorite chicken dishes?  
EV: I wonder if it's karaage or chicken nanban, using thigh meat.  
EE: Thigh meat is juicy and delicious, isn't it?  
EV: Yes, while chicken breast cutlets are good too, I prefer thigh because it’s juicier.  
EE: Chicken breast cutlet is nice too! I would make it into a sandwich.  
EV: The local butcher fries chicken tenders for me, so I often buy them.  
EE: The butcher shop's prepared foods are really tasty, so I end up buying them.  
EV: Yes, since they fry it after you buy it, it's hot and delicious.  
EE: I'm getting hungry.  
EV: Haven't you had dinner yet?  
EE: I haven't gone home yet, so it'll probably be around midnight.  
EV: I see. I've heard that having a late dinner isn't very good for you.  
EE: That's right. So there are often days when I skip dinner.  
EV: I see. I often skip breakfast and lunch, but I try to have dinner.  
EE: I often skip breakfast, so I end up having only one meal a day.  
EV: I also occasionally have only dinner on weekdays.  
EE: When you're busy, it just happens, right?  
EV: Yes, it's quite difficult to find enough time.  
EE: If I start living alone, I might neglect my meals even more.  
EV: Before you know it, you might miss mealtime and have days where you don't eat.  
EE: Even if I can't cook, I want to at least make an effort to eat properly.  
EV: Yes, even if it's just some side dishes, you need to eat something or you'll harm your health.  
EE: By the way, what was your dinner today?  
EV: It was mapo eggplant.",2,15,15,15,15
2,"EE: Good evening.
EV: Good evening. How can I help you today?
EE: Autumn has arrived. Are you playing any sports?
EV: Yes, I played badminton with my cousin.
EE: I was in the badminton club back in school.
EV: Did you enjoy your time there?
EE: Yes, badminton is enjoyable.
EV: Indoor sports like badminton are convenient.
EE: True, although the wind can be a problem outside.
EV: I avoided that by keeping the doors shut when playing.
EE: It gets very hot during summer.
EV: Staying cool in those conditions is essential.
EE: I once got heatstroke from playing.
EV: That sounds tough. Staying hydrated is important.
EE: Yes, and taking breaks regularly.
EV: Absolutely, don't push yourself too hard.
EE: Did you mostly play doubles?
EV: Yes, usually doubles.
EE: Did you play singles occasionally?
EV: Mostly doubles in tournaments.
EE: Same here.
EV: Doubles can be easier to manage.
EE: But coordination is tricky.
EV: Working well with partners can be challenging.
EE: It’s tough without a steady partner.
EV: Yes, changing partners can be hard.
EE: Do you prefer doubles?
EV: Yes, I like the teamwork aspect.
EE: The best part is supporting your teammate.
EV: I agree, it adds to the game.",16,15,15,15,15
3,"EE: Hello.
BR: Hello. How can I assist you today?
EE: Has anything made you happy recently?
BR: Drawing a manga recently made me happy.
EE: Do you enjoy drawing?
BR: Yes, I find it enjoyable.
EE: What do you usually draw?
BR: Mostly simple, relaxed sketches.
EE: My friend once drew in my notebook. It was great.
BR: That sounds lovely.
EE: They also created social media icons for me.
BR: That must have been very helpful.
EE: And even drew a cute portrait!
BR: Portraits can be tricky but rewarding.
EE: True. What's your manga about?
BR: It's about energy healing.
EE: What is energy healing?
BR: It's similar to qigong.
EE: Did you explain methods in the manga?
BR: I shared my experiences to recruit monitors.
EE: I'd love to read it!
BR: Spreading the word through manga helps.
EE: A manga makes it clearer.
BR: Visuals definitely help with understanding.
EE: What did you like about energy healing?
BR: It eased my mental blocks and made me feel grounded.
EE: It's hard to imagine that just with words.
BR: Yes, it can seem a bit unclear without experiencing it.
EE: Firsthand accounts are really useful.
BR: I appreciate that. I'll keep sharing my experiences.",30,15,15,15,15
4,"EE: Hi.
BR: Hello.
EE: What's your favorite food?
BR: South Indian cuisine recently.
EE: What dishes are in it?
BR: Lighter dishes, not naan.
EE: Examples?
BR: Parota and dosa.
EE: Do you eat dosa with curry?
BR: Yes, especially dosa.
EE: Is dosa hard to make?
BR: Yes, it needs fermenting rice and bean flour.
EE: So you eat at restaurants?
BR: Yes, I'm looking for the best one in Japan.
EE: I haven't been to a place without naan.
BR: They’re rare but increasing. Try one.
EE: I will.
BR: Some don’t have dosa, try meals.
EE: What is a meal?
BR: Sets with various side dishes.
EE: What is a thali?
BR: North Indian set meal; Meals is South Indian.
EE: New terms for me.
BR: Understandable.
EE: An Indian student in my lab can help.
BR: Food varies by region.
EE: I’ll ask both, they’re from different regions.
BR: Good idea. I used to live in South India near Cochin.
EE: I’ll try making South Indian food too.
BR: Enjoy!",9,15,15,15,15
5,"EE: Hello, nice to meet you!
BR: Hello. Nice to meet you!
EE: Do you have a favorite sport?
BR: I used to like snowboarding.
EE: I've never snowboarded before. How is it different from skiing?
BR: In skiing, you can move each foot separately. In snowboarding, they are fixed.
EE: I see. Balancing seems difficult.
BR: It was at first. But I got used to it.
EE: There wasn't a ski resort nearby, so I didn't go skiing.
BR: Same here. My body can't keep up as I get older.
EE: Physical strength is needed. Do you still like winter?
BR: Yes, I prefer winter. Autumn is my favorite season.
EE: I like autumn too. It's comfortable, and there are many delicious things.
BR: What is your favorite autumn flavor?
EE: Chestnuts in sticky rice and cake.
BR: They go well with both rice and sweets.
EE: Sweet potatoes are versatile too, used in both.
BR: Autumn flavors are amazing.
EE: Do you have any favorite autumn foods?
BR: I love juicy, sweet pears.
EE: Pears are delicious! I recently learned they are in season in autumn.
BR: I think they are in season in autumn.
EE: I think so too because I have seen them often at the supermarket recently.
BR: Understood. They are a bit expensive.
EE: Fruits have gotten more expensive.
BR: Price rises are having an impact.
EE: It's sad they can't be eaten easily.
BR: Planting them might be a solution.
EE: Should I try planting the seeds?
BR: That could work. Home gardening might help.",7,15,15,15,15
6,"EE: Hello, nice to meet you.  
FO: Hello.  
EE: Do you have a favorite food?  
FO: I can't think because I'm so full.  
EE: What did you have for lunch?  
FO: I had udon from Marugame Seimen.  
EE: It’s delicious, isn’t it? I like meat udon.  
FO: What is in meat udon?  
EE: It’s udon topped with beef.  
FO: It looks delicious.  
EE: Eating it occasionally makes me happy.  
FO: I ordered kamaage udon.  
EE: Good cost performance, isn’t it?  
FO: I ordered the large portion.  
EE: How much is it?  
FO: One cup. 530 yen.  
EE: About the same as pricier udon, isn’t it?  
FO: Yes.  
EE: Did you add tempura?  
FO: It costs more.  
EE: You focus on cost performance, right? Do you often eat anything else?  
FO: Maybe McDonald's.  
EE: Tsukimi Burger is very delicious.  
FO: An annual tradition, right?  
EE: Yes, I always eat it.  
FO: I only order fries and salad.  
EE: I rarely buy salad, but it’s delicious.  
FO: A little expensive, right?  
EE: Yes, and it makes you want potatoes.  
FO: I see.",3,15,15,15,15
7,"EE: Hello. Nice to meet you.  
FO: Hello.  
EE: Do you like sports?  
FO: No, I don't.  
EE: Understood. What do you usually do on your days off?  
FO: I relax.  
EE: Do you play games?  
FO: Yes, they are fun.  
EE: What kind of games do you play?  
FO: Mostly smartphone games.  
EE: I don't play many smartphone games. Any recommendations?  
FO: Look for ones with 4+ star ratings.  
EE: I haven't focused on ratings. Are they reliable?  
FO: Generally, yes.  
EE: I want to play Tsum Tsum again.  
FO: It's a popular puzzle game.  
EE: You connect and eliminate pieces. I loved it in middle school.  
FO: It's been around for a while.  
EE: Do you have a Switch?  
FO: No.  
EE: Do you watch YouTube on your smartphone?  
FO: Yes.  
EE: What kind of videos do you watch?  
FO: Anime-related and background music.  
EE: Are you an anime fan? I watch on Amazon Prime.  
FO: Occasionally. Currently watching Overlord.  
EE: What is Overlord?  
FO: A dark fantasy novel adaptation, similar to SAO.  
EE: I loved SAO. I'll check it out!  
FO: I'm playing the SAO game now.",10,15,15,15,15
8,"EE: Hello.
FO: Hello.
EE: Do you like animals?
FO: I can provide information about various animals.
EE: Are you a dog person or a cat person?
FO: Do you prefer cats?
EE: I love cats and want one someday.
FO: Do you live in an apartment currently?
EE: Yes, but pets aren't allowed.
FO: Many apartments restrict pets.
EE: Is it the same for your house?
FO: Restrictions are common.
EE: Do you live with your parents?
FO: My living situation involves multiple relocations.
EE: I've moved a lot too. My parents didn't want pets either.
FO: Moving frequently can be challenging.
EE: Do you have plans to live alone?
FO: I don't plan to live alone.
EE: Like a share house?
FO: Yes, similar to that.
EE: That could be more affordable.
FO: Living alone can be intimidating.
EE: If I lived alone, I'd probably sleep with the light on.
FO: Many people feel that way.
EE: Unseen places make me anxious.
FO: Showers can feel vulnerable.
EE: Closing your eyes makes it hard to know what's around you.
FO: That can be unsettling.
EE: Maybe keep our eyes open after rinsing our backs.
FO: That might be challenging for some.",26,15,15,15,15
9,"EE: Hello, nice to meet you.  
FO: Hello.  
EE: What's your favorite season?  
FO: Summer.  
EE: Do you not dislike the heat?  
FO: No.  
EE: It's said that it's easier to handle the cold because you can layer up.  
FO: It's tough when it's cold after a bath.  
EE: True, it's similar when getting out of bed.  
FO: Winter is tough.  
EE: Yes. What do you like about summer?  
FO: It's warm and feels youthful.  
EE: Running towards the sunset is a strong image.  
FO: It won't happen.  
EE: It's common in youth dramas.  
FO: I don't watch dramas.  
EE: I see. Summer and youth remind me of Koshien.  
FO: What are Koshien's viewership ratings?  
EE: Few watch live, many follow the results.  
FO: It seems popular.  
EE: Yes, I hear about it often.  
FO: There are baseball fans.  
EE: Those who watch professional baseball also watch Koshien.  
FO: The draft is influenced by Koshien, right?  
EE: Yes, good players join good teams.  
FO: Is that so?  
EE: I'm not very familiar, but that's my impression.  
FO: How popular are e-sports?  
EE: Quite popular, especially games like APEX.  
FO: It's fun when there are games you know.",4,15,15,15,15
10,"EE: Hello, nice to meet you.  
FO: Hello.  
EE: Do you have any hobbies?  
FO: Yes.  
EE: What do you like?  
FO: Games, reading, news.  
EE: What books?  
FO: Light novels.  
EE: I watch the anime versions.  
FO: That works too.  
EE: Is there any benefit to reading the book instead?  
FO: You get ahead; anime comes later.  
EE: Are there more details in the books?  
FO: Yes, many in Re:Zero books.  
EE: Really? I watch the anime. I get curious about the books sometimes.  
FO: Original work is good. Empire arc is online now.  
EE: That sounds interesting. I'll try to check it this weekend.  
FO: Familiar with the second season?  
EE: The rabbit episode stood out to me.  
FO: The name again?  
EE: A big rabbit with red eyes.  
FO: Echidna talks more in the original.  
EE: It could be fun to compare both.  
FO: Al has many mysteries.  
EE: Which character are you referring to?  
FO: Al will fight soon.  
EE: Is it Aldebaran? I need to review the scenes I missed.  
FO: Sword Saint scene was cut.  
EE: I didn't realize that was included.  
FO: If I remember right.",6,15,15,15,15
