Index,Dialogue,Try_Number,hhd_fs_count,hhd_ss_count,hcd_fs_count,hcd_ss_count
1,"EA: Hello!  
CP: Hello.  
EA: Do you have any hobbies?  
CP: Reading and swimming.  
EA: Nice! What genres do you read?  
CP: Mysteries.  
EA: Interesting! I like mysteries but haven't explored them much.  
CP: Any authors you know?  
EA: I read ""Everything Becomes F"" once.  
CP: By Mr. Mori. It's popular.  
EA: Really? I didn't know that.  
CP: Yes, his debut series is famous.  
EA: What else has he written?  
CP: The Sky Crawlers series.  
EA: I'll look into it.  
CP: It's more of a battle fantasy.  
EA: Got it. Any recommendations?  
CP: ""Murders at the House of Corpses"" by Masahiro Imamura.  
EA: That title is familiar.  
CP: It sold well and became a movie.  
EA: That makes sense.  
CP: Imamura has other series too.  
EA: I'll remember Masahiro Imamura. Did you see the movie?  
CP: Yes, it was well done.  
EA: How does it compare to the book?  
CP: The book has a stronger mystery, but the movie is good too.  
EA: Should I start with the book?  
CP: Yes, start with the book.  
EA: Got it. Excited for my weekend plans!  
CP: Great. Let me know your thoughts after you read it!",6,15,15,15,15
2,"EA: Hello.
CP: Hello.
EA: What are your favorite foods?
CP: I like tomatoes.
EA: Many people don't like tomatoes. Thoughts?
CP: True, but I enjoy fresh tomatoes, soup, pasta, and ketchup.
EA: I like tomatoes, but not tomato juice.
CP: I like tomato juice, though many don’t.
EA: Some juices are too thick.
CP: Yes, tomato juice can be thick.
EA: I still enjoy tomatoes in other dishes.
CP: What foods do you like?
EA: I like hamburg steak and fried chicken.
CP: Those are tasty.
EA: There’s a hamburger specialty store in Shizuoka Prefecture.
CP: Really? That sounds interesting. How did you learn about it?
EA: A friend told me about a place called ""Sawayaka."" It made my mouth water just hearing about it.
CP: Shizuoka is far for me, but I can see why you'd want to visit.
EA: Yes, I’d like to visit if I can.
CP: If you enjoy fried foods, Oita is famous for karaage.
EA: Yes, and also for toriten.
CP: There are many take-out karaage shops in Oita. It’s a great place for variety.
EA: Many karaage options available.
CP: We don’t make fried chicken at home anymore.
EA: Is it non-fried karaage you make?
CP: Yes, at home.
EA: Got it. I don’t cook much, but I appreciate good food.
CP: It’s fun to compare flavors from different places.
EA: I’d love to try the various flavors.
CP: If you get the chance, Oita's karaage is a must-try. Everything there is good.",11,15,15,15,15
3,"EA: Good evening.
DY: Good evening! How can I assist you tonight?
EA: Did you work today?
DY: Yes, I worked remotely today.
EA: The coronavirus is spreading, isn't it?
DY: Did you go to work today?
EA: Yes, the rain caused fewer customers.
DY: Do you work in customer service?
EA: Yes, in a restaurant.
DY: That must be challenging. How do you manage?
EA: Serving customers can be tough, but today was quieter.
DY: You can't choose your customers, right?
EA: Some are great, some are tricky, but I’ve gotten used to it.
DY: It must feel nice when you have good customers.
EA: Definitely. What kind of work do you do?
DY: I am a system engineer.
EA: Are you good with computers?
DY: I know my way around them.
EA: Can you do touch typing?
DY: Yes, I learned it in school.
EA: That’s impressive. I wish I had learned earlier.
DY: I was lucky to have a PC at home when I was young.
EA: What did you do on the PC as a child?
DY: I chatted with friends. Now it's on LINE.
EA: Chatting sounds fun.
DY: Yes, it was great to make new friends online.
EA: Do kids still chat on PCs?
DY: Many use smartphones now. They might use apps like LINE.
EA: Smartphones are indeed popular.
DY: It’s a good time to stay connected.",13,15,15,15,15
4,"EA: Good evening. How can I assist you today?
DY: Good evening. How may I help you?
EA: What are your hobbies?
DY: I watch videos and play games.
EA: What games do you play?
DY: Splatoon on the Switch.
EA: Is Splatoon 3 releasing soon?
DY: Yes, next month.
EA: Is it difficult to play?
DY: It's challenging at first, but becomes easier with practice.
EA: Are there different modes in the game?
DY: Yes, I prefer the ""Gachi Area"" mode.
EA: Do you watch game live streams?
DY: Yes, do you?
EA: Yes, I watch various streamers.
DY: What games do you play?
EA: Minecraft, Monster Hunter, and others with friends.
DY: Is Minecraft enjoyable with friends?
EA: Yes, exploring maps together is fun.
DY: I usually mine ores alone.
EA: We get many ideas from streamers.
DY: Do you have gaming friends?
EA: Yes, I've made many friends through gaming.
DY: I have some Splatoon buddies.
EA: Do you play other games?
DY: Yes, I also enjoy Pokémon.
EA: Is Pokémon fun? I haven't played the recent ones.
DY: The new games are interesting. There’s a new one this year.
EA: I might try it.
DY: It features a new grass-type starter Pokémon.",16,15,15,15,15
5,"EA: Hello!  
CZ: Hello!  
EA: Did you have breakfast today?  
CZ: Yes, I had leftover somen.  
EA: Somen noodles are great for summer.  
CZ: I often have them in summer.  
EA: They’re affordable and easy to make.  
CZ: Simple to cook.  
EA: Are you good at cooking?  
CZ: I cook, but not very well.  
EA: I'm not that great either. Any simple recipes?  
CZ: Somen noodles and chilled tofu.  
EA: Chilled tofu is good. I also like rice with raw egg.  
CZ: I eat that on holiday mornings.  
EA: Do you eat bread?  
CZ: I eat white bread on weekdays.  
EA: Different spreads change the taste.  
CZ: Also, the amount of soy sauce in tamago kake gohan.  
EA: I like it a bit stronger.  
CZ: I am testing different amounts.  
EA: There are many soy sauce types. I like peanut butter on bread too.  
CZ: Haven't tried much. It's a bit pricey.  
EA: It is, but I still buy it. Butter is more expensive now.  
CZ: I use mayonnaise.  
EA: Is it good?  
CZ: Yes, it's good.  
EA: I tried pizza mayonnaise. It was good.  
CZ: Try with a fried egg on top.  
EA: I will. I need to go now.  
CZ: Okay.",6,15,15,15,15
6,"EA: Hello!  
CZ: Hello!  
EA: Where do you live?  
CZ: In the western part of Kansai.  
EA: Kansai? I’m from Kyushu and always thought Kansai was exciting!  
CZ: My area is more countryside, though.  
EA: Really? I imagined Kansai being more urban and crowded.  
CZ: The cities are, but here we have lots of mountains, rivers, and rice fields.  
EA: That sounds lovely. Do you often go to the city for fun?  
CZ: Not really. I prefer doing outdoor activities.  
EA: Like what?  
CZ: Surfing and mountain climbing.  
EA: Surfing sounds amazing! Is now a good season for it?  
CZ: The best time is right after Obon when the waves pick up.  
EA: How long have you been surfing?  
CZ: For about 15 or 16 years, though I only go a few times a year.  
EA: That's quite impressive! What about mountain climbing?  
CZ: I started it during the COVID-19 pandemic.  
EA: I have childhood memories of getting tired on hiking trips.  
CZ: Why did you feel that way?  
EA: I got exhausted from walking a lot. My parents loved hiking, so we went often.  
CZ: The tiredness can be quite refreshing, though.  
EA: I might appreciate it more now as an adult. I spend a lot of time indoors.  
CZ: Do you watch many videos?  
EA: Yes, YouTube is my go-to. Do you watch videos too?  
CZ: Sometimes before bed.  
EA: There are so many types, including ones on surfing and mountain climbing.  
CZ: They all start to look similar after a while.  
EA: True, but I guess the real fun is in actually doing those activities.  
CZ: Exactly, trying new things is always rewarding.",14,15,15,15,15
7,"EA: Hello! Nice to meet you.
CZ: Hello. Nice to meet you.
EA: Do you often read books?
CZ: Yes, fairly often.
EA: What kind?
CZ: I used to read novels a lot.
EA: What genre?
CZ: Historical novels by Ryotaro Shiba.
EA: Sounds interesting. Is it difficult to read?
CZ: No, it's quite engaging. Like Ryoma ga Yuku.
EA: By Ryotaro Shiba, right?
CZ: Yes, it's about Ryoma Sakamoto.
EA: Ryoma Sakamoto who said ""Japan's dawn,"" correct?
CZ: Correct.
EA: I remember learning about him at school. What about you?
CZ: What books do you read?
EA: I read a lot of manga. Recently, mystery novels too.
CZ: Which manga?
EA: Blue Period.
CZ: What’s it about?
EA: A high school student aiming for an art university after being praised by an art teacher.
CZ: Like Dragon Zakura?
EA: Is it a similar story?
CZ: Yes, about an underachieving student aiming for a prestigious university.
EA: So, it's about hard work and passing exams?
CZ: Yes, similar.
EA: I see. Even without knowing about art, it's engaging.
CZ: I thought you liked art.
EA: I enjoy learning about unknown worlds.
CZ: It's exciting!",4,15,15,15,15
8,"EA: Hello! Nice to meet you!  
CZ: Hello! How can I assist you today?  
EA: Do you have a favorite animal?  
CZ: Cheetahs are impressive.  
EA: I like cats, so I find cheetah cubs adorable.  
CZ: Cheetah cubs are very cute.  
EA: Dobermans are cool, but I wouldn't want to keep one.  
CZ: Do you find animal videos relaxing?  
EA: Yes, I watch cat videos often.  
CZ: There are many animal videos online.  
EA: Watching cats play or DIY cat towers is relaxing.  
CZ: You enjoy YouTube videos.  
EA: Yes.  
CZ: Are there other animal videos you like?  
EA: Mainly cat videos, but there are others, like desert watering holes.  
CZ: Waterhole videos show animals drinking.  
EA: I've seen ostriches and buffaloes there.  
CZ: Those videos are interesting.  
EA: Placing a camera in the desert is impressive.  
CZ: It helps observe wild animals.  
EA: Have you seen images of Earth from space?  
CZ: Yes, they are fascinating.  
EA: Seeing Earth from space is incredible.  
CZ: The Earth's rotation is awe-inspiring.  
EA: The night view is beautiful.  
CZ: Auroras are stunning from space.  
EA: Would you like to go to space?  
CZ: It might be intimidating.  
EA: I'd love to go!  
CZ: You have an adventurous spirit.",6,15,15,15,15
9,"EA: Hello!  
CZ: Thank you in advance!  
EA: What are you planning to eat for lunch?  
CZ: I plan to eat somen again.  
EA: Did you have somen for breakfast too?  
CZ: Breakfast was somen noodles.  
EA: Somen noodles are simple and nice. I'm thinking of eating curry.  
CZ: How sweet do you like your curry?  
EA: I like it just a little bit spicy.  
CZ: I prefer it slightly sweeter than medium-spicy.  
EA: If it's too spicy, I can't eat it because I'm not good with spicy food. Have you tried soup curry?  
CZ: It's the one with more liquid than regular curry, right?  
EA: Yes, that's correct. I haven't tried it, but I saw it in a video, and it looked delicious.  
CZ: Does it taste good? It looks like it might be bland.  
EA: The flavor seems good from what I've seen. It had a lot of vegetables.  
CZ: It's nice that it has vegetables. Do you like unusual kinds of curry?  
EA: Not really, but I want to try delicious-looking food I saw in the video.  
CZ: There are food videos, right? What looked the most delicious?  
EA: I'm torn. A cheese-loaded pizza in high definition looked very appetizing.  
CZ: Pizza looks delicious, and its colors stand out on the screen.  
EA: I saw it in a cooking video made in a foreign country. The filming was excellent.  
CZ: It looks more delicious when made in a foreign kitchen.  
EA: Right. Authentic American hamburgers make you hungry. Do you like meat dishes?  
CZ: I like meat. I often grill it and eat it as it is.  
EA: Everyone loves it, right? What do you usually order a lot of at the yakiniku restaurant?  
CZ: Recently, I mostly eat pork and chicken, with beef occasionally.  
EA: I see. I also often eat chicken. There's a specialty shop nearby.  
CZ: It's good to have various options nearby.  
EA: The only downside is there's no place to play.  
CZ: That's unfortunate!",1,15,15,15,15
10,"EA: Hello!  
EP: Hello! How can I assist you today?  
EA: Have you ever been to the city?  
EP: Yes, I have. I live in the Kanto region and visit occasionally.  
EA: I went there on a school trip and saw many people.  
EP: Where did you go?  
EA: Tokyo and Hokkaido, and I toured a university.  
EP: I see. I am from Kyushu and visited Okinawa and Hokkaido during school.  
EA: Okinawa sounds interesting. I haven't been there.  
EP: Did your school trip include Tokyo?  
EA: Yes. How was Okinawa?  
EP: The sea was beautiful.  
EA: Did you go skiing in Hokkaido?  
EP: Yes, I skied and got a snowburn.  
EA: Did you eat anything special?  
EP: Yes, I had crab. Did you fly to Hokkaido after Tokyo?  
EA: Yes. Two days in Tokyo and two days in Hokkaido.  
EP: That sounds busy.  
EA: It was. I went in autumn and saw snow in Hokkaido. The Jingisukan was good.  
EP: I haven't tried Genghis Khan.  
EA: The cooking method was unique. What did you have in Okinawa?  
EP: Soki soba, but my memory is unclear.  
EA: I'd like to go there someday. Have you traveled recently?  
EP: Recently, I visited Osaka.  
EA: Osaka has a lot of good food.  
EP: Yes, but I couldn't eat much.  
EA: Were you busy?  
EP: Yes, it was hectic with the children.  
EA: Would you like to go again when your child gets older?  
EP: Yes, I would.",7,15,15,15,15
