Index,Dialogue,Try_Number,hhd_fs_count,hhd_ss_count,hcd_fs_count,hcd_ss_count
1,"BJ: Hello!  
BS: Hello!  
BJ: How often do you watch TV?  
BS: I watch it every day during breakfast and dinner. How about you?  
BJ: Do you have any favorite TV shows?  
BS: Yes, I enjoy Kaji Yaro and Banana Man's Sekkaku Gourmet.  
BJ: You like comedians, don't you?  
BS: Yes, I like comedians and food. Do you watch TV?  
BJ: Yes, but only about once or twice a week.  
BS: Any specific shows you like to watch?  
BJ: Yes, I regularly watch Wednesday Downtown.  
BS: That's the one that starts at 10 PM, right?  
BJ: That's right. Have you seen it?  
BS: Yes, it verifies various theories, correct?  
BJ: Yes, and pranks are a big part of it.  
BS: Do you prefer the pranks or the comedians on the show?  
BJ: I like both. Do you have a favorite comedian?  
BS: Yes, I really enjoy Sandwichman and Jiro from Sissonne.  
BJ: They are great. I like them too.  
BS: Sandwich Man's MC work is very stable.  
BJ: The year they won the M1 is very moving.  
BS: I'll check that out. Do you have any other favorite comedians?  
BJ: Yes, Mr. Tanaka from Ungirls.  
BS: What do you find amazing about him?  
BJ: He's smart, great at playing quirky characters, and strong in improv.  
BS: He is very good at Oogiri and seems intelligent.  
BJ: He is truly an entertainer.  
BS: I miss the Janga Janga era.  
BJ: That's nostalgic. Let's end here for today. Thank you.  
BS: Thank you.",7,15,15,15,15
2,"BJ: Hello!  
BS: Hello! How can I help you today?  
BJ: I'm thinking of trying something new. What do you do on your days off?  
BS: I often visit the library. It's quite relaxing.  
BJ: Libraries are really wonderful!  
BS: There's a pretty large library close to my home.  
BJ: Do you enjoy books?  
BS: Yes, I love them! Physical books, especially.  
BJ: I haven't read in a while.  
BS: Are there any libraries or bookstores near you?  
BJ: Sadly, no. What kind of books do you like?  
BS: I mostly read practical or self-improvement books nowadays.  
BJ: It feels like I haven't read properly for years. Got any recommendations?  
BS: ""Tsumamimeshi"" makes cooking feel easy and fun.  
BJ: What's ""Tsumamimeshi""?  
BS: It's a recipe book by Ryuuji.  
BJ: Oh, I know Ryuuji! His recipe videos are awesome.  
BS: Yes, this is his recipe book.  
BJ: The one who cooks while being drunk? His videos are hilarious!  
BS: Yes, but he's more serious on TV.  
BJ: Publishing a book sounds really useful.  
BS: His recipes are quick and perfect for dinner.  
BJ: Is that book available at the library?  
BS: Yes, the library has it.  
BJ: Sounds like a large library. I should visit.  
BS: Yes, it’s a great idea. They also have magazines.  
BJ: And it's free, which is fantastic! Do they have movies?  
BS: The library also has DVDs you can watch.  
BJ: Amazing! I'll check it out next time. Thanks for the suggestion.  
BS: You're welcome! Enjoy your visit to the library.",14,15,15,15,15
3,"BJ: Hello!  
BQ: Hello!  
BJ: What do you do on your days off?  
BQ: I mostly stay at home and watch subscription services.  
BJ: Oh, is it something like Netflix?  
BQ: Yes, recently I've been trying U-NEXT.  
BJ: I am also subscribed to U-NEXT. Do you like movies?  
BQ: I'm not very knowledgeable about them, but I like them.  
BJ: Have you watched anything recently on subscription services?  
BQ: I watched ""20th Century Boys"" as a movie.  
BJ: Oh, a live-action one?  
BQ: Yes, that's Kenji-kun.  
BJ: I saw it when it was first released. It was quite an experience. Was it interesting?  
BQ: I also watched it at the cinema and thought it was interesting enough to watch again.  
BJ: It's nostalgic. Do you prefer Japanese movies over Western ones?  
BQ: I tend to watch Japanese films more often.  
BJ: Oh, then U-NEXT is great for that. It has a lot of Japanese movies.  
BQ: Yes, it's more expensive but has a greater number of works.  
BJ: Yes, it becomes cheaper if you share it with your friends.  
BQ: There's something called 'share'? I didn't know that.  
BJ: Yes, it accommodates up to four people. The monthly fee can also be divided into four parts.  
BQ: That's a good deal. Can you also read magazines?  
BJ: Yes, for things like manga as well, although you mostly need points for them.  
BQ: I see. Are you subscribed to any other services?  
BJ: I am also subscribed to Netflix and Amazon.  
BQ: Many people have joined. I am subscribed to Disney Plus.  
BJ: Disney Plus seems to have a lot of interesting content recently.  
BQ: The short film of Baymax was interesting.  
BJ: I didn't know such a thing existed. I would love to see it.  
BQ: I recommend it.",3,15,15,15,15
4,"BJ: Hello!  
BQ: Hello.  
BJ: What's your favorite food?  
BQ: Pork cutlets.  
BJ: I love pork cutlets too.  
BQ: Do you prefer filet or loin?  
BJ: That's a tough choice. What about you?  
BQ: I like roast.  
BJ: Loin is more affordable and tasty.  
BQ: Yes, it's a good deal.  
BJ: What do you like to put on it?  
BQ: Sauce.  
BJ: Classic choice.  
BQ: What do you add?  
BJ: I usually go with sauce, but salt is great too.  
BQ: You have refined taste. I like grilled meat with salt.  
BJ: Interesting.  
BQ: Sauce is common, but salt is good too.  
BJ: I've always had it with sauce.  
BQ: What do you order first at a yakiniku restaurant?  
BJ: Tongue.  
BQ: I also start with tongue.  
BJ: Can't eat fatty cuts like kalbi much now.  
BQ: The fat is heavy. I often order chicken now.  
BJ: Chicken is good too. Also, hormone dishes.  
BQ: I haven't tried hormone dishes yet. Are they good?  
BJ: I like them, but tastes vary.  
BQ: Which do you like?  
BJ: Hatsu and liver.  
BQ: Good choices.",7,15,15,15,15
5,"BJ: Good evening!  
BQ: Good evening.  
BJ: Have you had dinner yet?  
BQ: Yes, I had sushi from the supermarket.  
BJ: That sounds good.  
BQ: It was quite tasty. What did you have?  
BJ: I had a Chinese rice bowl.  
BQ: From a restaurant?  
BJ: No, it was pre-packaged. It wasn't very good.  
BQ: That's unfortunate. Did it have a quail egg?  
BJ: Yes, a small one.  
BQ: Convenience foods have many options these days.  
BJ: Yes, the quality has improved. Convenience stores are quite impressive.  
BQ: Their product development is impressive.  
BJ: Indeed. Do you get them often?  
BQ: Yes, especially on my days off.  
BJ: Seven-Eleven's meals are my favorite.  
BQ: Their packaging could be better, though.  
BJ: I agree. Prices have also increased lately.  
BQ: Yes, and sometimes the quantity is less.  
BJ: The fried chicken skewer is now 180 yen.  
BQ: Understood.  
BJ: It used to be 100 yen when I was a student. Everything is expensive now!  
BQ: Coffee prices have also increased.  
BJ: Really?  
BQ: Yes, by about 10 yen. Convenience stores are getting pricey.  
BJ: People still buy from them, though.  
BQ: Price increases are concerning.  
BJ: Constant price hikes are very frustrating.  
BQ: They are. Price reductions are unlikely for now.",12,15,15,15,15
6,"BJ: Good evening!
BQ: Good evening.
BJ: What do you want most right now?
BQ: I am not sure. Maybe a car?
BJ: A nice car! Is there a specific type you want?
BQ: I feel like I want a car. Someday, I'd like to drive a sedan.
BJ: Having a car is really handy for many things.
BQ: Yes. Is there a car you would like to drive?
BJ: I'd love to drive a Beetle Cabriolet someday.
BQ: The Beetle Cabriolet is a cool convertible model.
BJ: It looks amazing! I'd love to try it.
BQ: A convertible can be a fun experience.
BJ: Yes, but I don’t really understand things like fuel efficiency.
BQ: Modern vehicles generally have good fuel efficiency.
BJ: I hope you get to drive it someday!
BQ: It could be a future goal.
BJ: I think that's a great idea.
BQ: Thank you. What do you want the most right now?
BJ: Hmm, probably money?
BQ: Money is versatile and can be used for many things.
BJ: Actually, I'm thinking about getting married.
BQ: Congratulations! That must be exciting and challenging, right?
BJ: Thank you. It's tough without enough money.
BQ: Are you referring to wedding expenses and other costs?
BJ: Yes, the cost of living for two people and other things.
BQ: Buying a home can be difficult. I hope you find a good solution.
BJ: That's true. Thank you very much. Married people are amazing.
BQ: I need to find a partner first, but married individuals are indeed admirable.
BJ: You'll definitely meet a wonderful partner.
BQ: Thank you. I hope you both remain happy forever.",3,15,15,15,15
7,"BJ: Hello!
AU: Hello!
BJ: What were you doing this morning?
AU: In the morning, I was out taking my daughter to and from cram school. How about you?
BJ: You have a daughter! I watched a movie.
AU: Movies are nice. What did you watch?
BJ: It is a movie called ""Forrest Gump"".
AU: I haven't seen it, but it's a famous movie, right?
BJ: That's right. I've recently gotten into watching movies that are said to be masterpieces but I haven't seen yet.
AU: That's a good idea. Watching movies at home has become more popular recently.
BJ: Yes, I originally like movies. Do you watch movies?
AU: Since it's summer vacation, the day before yesterday I watched ""Stigmatized Properties"" with my child on Netflix.
BJ: Oh, horror, nice! Was it scary?
AU: Yes, it was quite scary. Movies based on true stories feel even scarier.
BJ: The horror movie feels very summery and nice. I also recently watched a movie on Netflix called 'Curse'.
AU: I haven't seen that yet. Was it interesting?
BJ: It might be the scariest horror I've seen so far. It might not be suitable for children.
AU: That sounds interesting. Could it be a bit too stimulating for children?
BJ: Is it a surprising kind? Is your child okay with scary things?
AU: No, it feels like they're clinging to me while saying they're scared, scared.
BJ: That's right, you can't see those things when you're little.
AU: I'm scared, but I want to watch horror movies. Do you have any other movie recommendations?
BJ: Is it in the horror genre?
AU: Whether it's horror or not, it's okay.
BJ: If you haven't seen it yet, how about the movie ""Orphan""? It's not a horror, but it's scary.
AU: Is it a psychological fear?
BJ: It was so interesting in a human way... I watched it about three times.
AU: Oh, that's something to look forward to!
BJ: Sure! I really recommend it. Thank you very much for today!
AU: I think I would like to watch it. Thank you very much.",1,15,15,15,15
8,"BJ: Hello!
AU: Hello!
BJ: Do you admire anyone?
AU: No, do you?
BJ: I admire Ichiro.
AU: You like baseball?
BJ: I played a bit in elementary school. Do you follow it?
AU: I don't understand baseball and I'm not good at sports. Do you watch games often?
BJ: Just occasional broadcasts.
AU: My dad watched a lot of baseball.
BJ: That’s common. Do you watch TV a lot?
AU: Mostly videos.
BJ: Like YouTube?
AU: Mainly Netflix and YouTube.
BJ: Hard to stop once you start.
AU: Yes, especially with series. Do you watch TV dramas?
BJ: I enjoy Netflix dramas.
AU: American TV dramas are entertaining.
BJ: Any suggestions?
AU: ""Fuller House."" Know it?
BJ: Yes, what's it about?
AU: Continuation of ""Full House.""
BJ: That sounds great!
AU: It's nostalgic.
BJ: There's a modern version now?
AU: Yes, the kids are grown.
BJ: I'll watch it. I enjoy Korean dramas.
AU: Any recommendations?
BJ: Lawyer Woo Young-woo.
AU: I'll check it out.",41,15,15,15,15
9,"BJ: Hello!  
BL: Hello.  
BJ: Are there any things you are not good at?  
BL: Are you talking about food?  
BJ: It could be anything.  
BL: Probably something like cockroaches?  
BJ: Same here. Insects are a no-go for me. Because of that, I can't eat shrimp.  
BL: I understand.  
BJ: It's really unpleasant, isn't it?  
BL: Yes, they've been around for a long time, so it seems inevitable.  
BJ: By the way, what kind of food don't you like?  
BL: I don't like raisins.  
BJ: Is it their appearance or taste?  
BL: It's the texture.  
BJ: A lot of people aren't fans of it, right?  
BL: Many people around me can eat them, though.  
BJ: Oh, really? My younger sister used to get scolded for picking out raisins from raisin bread and throwing them away.  
BL: That bread can be challenging. Also, there’s raisin butter.  
BJ: I haven't had much of that. How about rum raisin ice cream?  
BL: I wouldn’t choose that either.  
BJ: Well, you can easily avoid eating raisins.  
BL: Correct. I haven't had many chances to eat them.  
BJ: I guess a lot of people understand that. Everyone likes shrimp, but I find it hard to explain why I don't.  
BL: Some people dislike shrimp too, for various reasons.  
BJ: Really? What's the reason?  
BL: One person said it didn’t taste good.  
BJ: That's uncommon. I actually like the taste.  
BL: Preferences vary.  
BJ: Yes, human tastes are quite mysterious.  
BL: Indeed, the mystery of taste.",2,15,15,15,15
10,"BJ: Hi.
AN: Hello.
BJ: Do you use social media?
AN: Mostly just to watch.
BJ: So, you have an account for browsing?
AN: Yes, mainly to stay updated. What about you?
BJ: I do, but I mostly watch too.
AN: Do you follow anyone in particular?
BJ: Yes, but I’m thinking of taking a break.
AN: Why’s that?
BJ: I find myself checking it without any reason. Do you do that?
AN: Yes, time flies by on it.
BJ: Exactly, it's very distracting.
AN: Smartphones in general are distracting.
BJ: True, it’s hard to stop using them.
AN: Yes, I even get scolded during meals.
BJ: That must be tough. What do you usually check on your phone?
AN: Stock updates and LINE manga.
BJ: Interesting mix. 
AN: I actually spend more time on manga.
BJ: Manga can be very engaging.
AN: Especially with new episodes frequently.
BJ: Yes, it keeps you coming back.
AN: It’s clever, I’m hooked.
BJ: Do you play smartphone games?
AN: No, just Tetris before.
BJ: Same here. Games seem too addictive.
AN: Especially online games, they’re hard to quit.
BJ: Easy to spend too much time on them.
AN: Not good for work balance.",15,15,15,15,15
