Index,Dialogue,Try_Number,hhd_fs_count,hhd_ss_count,hcd_fs_count,hcd_ss_count
1,"EE: Hello!
EV: Hi, nice to meet you.
EE: Do you have any favorite foods?
EV: You enjoy chicken, don't you? I like a variety of foods.
EE: Yes, chicken can be made in many ways.
EV: It’s healthy and versatile. Any preferred dishes?
EE: What chicken dishes do you like?
EV: Karaage and chicken nanban with thigh meat.
EE: Thigh meat is so juicy and tasty.
EV: Yes, it’s juicier than breast meat.
EE: Chicken breast cutlets are perfect for sandwiches.
EV: My local butcher fries fresh chicken tenders. They’re always good.
EE: Butcher shop food is always tasty. I buy it often.
EV: Freshly fried food from the butcher is hot and delicious.
EE: This conversation is making me hungry.
EV: Have you had dinner yet?
EE: Not yet. I’ll have a late dinner tonight.
EV: Late dinners can be unhealthy.
EE: True, I sometimes skip dinner because of that.
EV: I often skip breakfast and lunch but try to have dinner. What about you?
EE: I skip breakfast too, so I sometimes have just one meal a day.
EV: On busy days, I manage only dinner.
EE: It’s challenging to eat regularly when busy.
EV: Yes, finding time for meals is hard.
EE: If I live alone, I might skip meals more often.
EV: You might miss meals entirely. It’s important to plan ahead.
EE: I’ll try to eat properly even if I don’t cook.
EV: Eating something is important for your health.
EE: What did you have for dinner today?
EV: Mapo eggplant.",20,15,15,15,15
2,"EE: Good evening.

EV: Good evening.

EE: Playing any sports lately?

EV: Yes, badminton with my cousin.

EE: I used to be in the badminton club.

EV: I played in high school too.

EE: Badminton is enjoyable.

EV: Yes, and it’s great indoors.

EE: Wind can be challenging outside.

EV: I always kept the doors closed.

EE: It's like a sauna in summer, right?

EV: Yes, very humid.

EE: I got heatstroke once from it.

EV: Some people experienced cramps too.

EE: It’s crucial to stay hydrated and take breaks.

EV: Yes, don’t overdo it.

EE: Did you mostly play doubles?

EV: Yes, mostly doubles.

EE: Not much singles?

EV: Mostly doubles in tournaments.

EE: Understood.

EV: Defensive range is narrower in doubles.

EE: Rotation with partners can be tricky.

EV: It was tough coordinating at first.

EE: Finding a stable partner is essential.

EV: Yes, it was challenging with different pairs.

EE: Do you prefer doubles over singles?

EV: Yes, I enjoy the teamwork aspect.

EE: Covering teammates feels rewarding.

EV: Yes, definitely.",17,15,15,15,15
3,"EE: Hello, nice to meet you!
BR: Hello. How can I assist you today?
EE: Has anything made you happy recently?
BR: Yes, I recently drew a small manga that pleased someone.
EE: That's wonderful! Do you enjoy drawing?
BR: Yes, I do. I've enjoyed it for a long time.
EE: What kind of pictures do you like to draw?
BR: Simple and relaxed ones.
EE: A friend of mine drew in my notebook once, and it made me very happy.
BR: That sounds lovely.
EE: They even created custom social media icons for me.
BR: Custom icons are quite useful.
EE: They also drew a portrait of me, and it turned out very cute.
BR: Portraits can be tricky but rewarding.
EE: What was your manga about?
BR: It was about energy healing.
EE: What is energy healing?
BR: It's similar to qigong, focusing on energy flow for well-being.
EE: Did you explain the method in your manga?
BR: Yes, I illustrated how it felt to recruit monitors.
EE: That sounds intriguing. I'd love to read it.
BR: Visuals do help in understanding.
EE: Visualization is definitely helpful.
BR: Especially for concepts that are less known.
EE: What do you like about energy healing?
BR: It eased my mental blocks and made me feel more connected to my body.
EE: That sounds interesting.
BR: Personal experiences make it easier to understand.
EE: Firsthand experiences are very valuable.
BR: Thank you for saying that.",54,15,15,15,15
4,"EE: Hello, nice to meet you!  
BR: Hello. Nice to meet you!  
EE: Do you have any favorite foods?  
BR: Recently, I've been into South Indian cuisine.  
EE: What kind of dishes are South Indian cuisine?  
BR: South Indian cuisine is often lighter and sometimes features main dishes that are not naan.  
EE: What are some main dishes other than naan?  
BR: Examples include a pie-like dish called parota and a crispy crepe called dosa.  
EE: Are these eaten with curry?  
BR: Yes, they are often paired with curry.  
EE: Can you make dosa yourself?  
BR: Dosa is difficult to make due to the fermentation process.  
EE: Do you eat out at restaurants then?  
BR: Yes, I look for South Indian restaurants.  
EE: I haven't been to a restaurant that serves other than naan.  
BR: South Indian restaurants are still rare in Japan, but they are increasing.  
EE: I will try to find one.  
BR: Some South Indian restaurants might not have dosa, so try meals instead.  
EE: What are meals?  
BR: Meals are like thali set meals with various side dishes.  
EE: What is a thali?  
BR: Thali is a North Indian set meal, and Meals is a South Indian set meal.  
EE: Both are unfamiliar terms to me.  
BR: Understandable. These terms can be confusing if you're not familiar with Indian cuisine.  
EE: There's an Indian student in my research lab. I will ask them.  
BR: Food preferences can vary based on the region in India.  
EE: I will ask both of the Indian students, as they might have different backgrounds.  
BR: I used to live near Cochin in South India.  
EE: That explains your knowledge. I’ll try making South Indian cuisine.  
BR: Enjoy exploring South Indian food!",9,15,15,15,15
5,"EE: Hello.  
BR: Hello.  
EE: Favorite sport?  
BR: Snowboarding.  
EE: Different from skiing?  
BR: Feet are fixed, slide sideways.  
EE: Balancing hard?  
BR: At first.  
EE: No nearby ski resorts.  
BR: Understandable.  
EE: Need physical strength. Enjoy winter?  
BR: Yes. Prefer autumn.  
EE: Autumn has good food.  
BR: True. Favorite autumn flavor?  
EE: Chestnuts.  
BR: Versatile.  
EE: Sweet potatoes too.  
BR: Agreed.  
EE: Favorite autumn food?  
BR: Pears.  
EE: In season now.  
BR: Maybe.  
EE: Supermarket has them often.  
BR: Costly.  
EE: Fruit prices up.  
BR: Yes.  
EE: Unfortunate.  
BR: Plant your own.  
EE: Good idea.  
BR: Practical.",23,15,15,15,15
6,"EE: Hello, nice to meet you.

FO: Hello.

EE: Do you have a favorite food?

FO: I'm too full to think right now.

EE: What did you have for lunch?

FO: Udon from Marugame Seimen.

EE: That's great. I really enjoy meat udon.

FO: What's in meat udon?

EE: It's udon topped with sweet and savory beef.

FO: Sounds good.

EE: It is. Always makes me happy when I have it.

FO: I had kamaage udon today.

EE: Nice choice! Kamatama udon is also really tasty.

FO: I ordered the large portion.

EE: Wow, how much was it?

FO: 530 yen.

EE: That's quite cost-effective.

FO: Yes, it is.

EE: Did you get any tempura?

FO: No, it can be pricey.

EE: True, cost adds up. Do you have other favorites besides udon?

FO: Sometimes McDonald's.

EE: The Tsukimi Burger this year was really good.

FO: It's a yearly special.

EE: I can't resist it when it's out.

FO: Recently, I only get fries and salad.

EE: Salads are good.

FO: They can be expensive though.

EE: I agree. They always make me want fries too.

FO: Understood.",44,15,15,15,15
7,"EE: Hello, nice to meet you.
FO: Hello.
EE: Do you like sports?
FO: No, not particularly.
EE: Got it. What do you usually do on your days off?
FO: I take it easy.
EE: Sounds good. Do you play games?
FO: Yes, I do. They are fun.
EE: What kind of games do you often play?
FO: Many smartphone games. The turnover is intense.
EE: I see. I don't play many smartphone games. Any recommendations?
FO: High-rated games, four or more stars, are usually good.
EE: I haven't paid much attention to ratings.
FO: Many choose based on ratings because it's safer.
EE: An app with broad appeal, huh? I want to play Tsum Tsum again after a while.
FO: A famous puzzle game, right?
EE: Yes, you connect and eliminate pieces. I loved it in middle school.
FO: It's been around for a long time.
EE: Feels like it has some history. Do you have a Switch or anything?
FO: No.
EE: I see. Do you watch YouTube on your smartphone?
FO: Yes.
EE: What kind of videos do you like?
FO: Anime-related and background music.
EE: You're an anime fan? I watch on Amazon Prime sometimes.
FO: Occasionally, I do too. Watching Overlord now.
EE: What is Overlord?
FO: A dark fantasy based on a novel, similar to SAO where the game becomes real.
EE: I loved SAO, I'll check it out!
FO: I'm currently playing the SAO game.",2,15,15,15,15
8,"EE: Hello, nice to meet you.  
FO: Hello.  
EE: Do you like animals?  
FO: I’m just an ordinary person.  
EE: Are you a dog person or a cat person?  
FO: I think I would like a cat.  
EE: I really love cats. I want to have one someday.  
FO: Do you live in an apartment now?  
EE: Yes, but the apartment doesn't allow pets.  
FO: That makes sense.  
EE: Is it the same for your house?  
FO: Possibly.  
EE: Are you living with your parents?  
FO: Yes.  
EE: I understand. I moved a lot too. My parents didn't want pets either.  
FO: I see.  
EE: Do you have plans to live alone?  
FO: No, I prefer living with others.  
EE: In a share house?  
FO: Yes.  
EE: The rent must be cheaper.  
FO: Yes, and living alone can be scary.  
EE: I understand. If I'm alone, I keep the light on.  
FO: That sounds wise.  
EE: It's scary when you can't see around you, like something might be there.  
FO: Especially during showers.  
EE: When you close your eyes, you can't see what's happening.  
FO: So you end up showing your back.  
EE: Let's open our eyes after splashing water on our backs.  
FO: Good idea, though it might be tricky to do.",4,15,15,15,15
9,"EE: Hello, nice to meet you.
FO: Hello.
EE: What’s your favorite season?
FO: Summer.
EE: Do you handle the heat well?
FO: I manage.
EE: Some people say it's better to be cold so you can layer up.
FO: Cold is tough after a bath.
EE: True, getting out of bed is hard in winter too.
FO: Winter is challenging.
EE: What do you enjoy about summer?
FO: It’s warm and feels youthful.
EE: Like chasing the sunset?
FO: It's unreachable.
EE: Isn't that the essence of youth in dramas?
FO: I don't watch dramas.
EE: When thinking of summer youth, Koshien comes to mind.
FO: How popular are the viewership ratings for Koshien?
EE: Many follow the results instead of watching live.
FO: So, it's quite popular.
EE: Yes, I hear about it in conversations often.
FO: There are many baseball fans.
EE: Yes, and they often watch Koshien too.
FO: Does Koshien affect the draft?
EE: Yes, top players get picked by good teams.
FO: Is that a fact?
EE: It’s my impression.
FO: How popular are e-sports now?
EE: They’ve grown, especially titles like APEX.
FO: It’s fun with familiar games, isn’t it?",6,15,15,15,15
10,"EE: Hello, nice to meet you.
FO: Hello. How can I assist you today?
EE: Do you have any hobbies?
FO: Yes, I have a few hobbies.
EE: What are they?
FO: I enjoy playing games, reading books, and staying updated with the news.
EE: What kind of books do you read?
FO: I mostly read light novels.
EE: I usually watch the anime versions instead of reading the books.
FO: Watching the anime is enjoyable too.
EE: Are there any benefits to reading the original books?
FO: Yes, you get more details and the story progresses faster.
EE: Do the books have more details than the anime?
FO: Yes, especially with Re:Zero. The books include extra short stories.
EE: I'm curious about the original work now.
FO: The original series is engaging and currently in the Empire arc.
EE: I'll check it out this weekend.
FO: That’s great. Are you caught up to the second season of the anime?
EE: Yes, the episode with the big rabbit was memorable.
FO: Do you remember the rabbit’s name?
EE: It had red eyes, but I can't recall the name.
FO: In the original work, there’s more dialogue from Echidna.
EE: Noted. I might compare the two.
FO: Yes, the books provide more insights.
EE: Which character do you mean?
FO: Al. He’s set for a significant fight soon.
EE: Aldebaran? I'll review that part.
FO: There’s also a scene with Subaru being attacked that might be missing in the anime.
EE: So there are additional scenes in the original work.
FO: Yes, if my memory serves me right.",20,15,15,15,15
