Index,Dialogue,Try_Number,hhd_fs_count,hhd_ss_count,hcd_fs_count,hcd_ss_count
1,"HE: Hi there!
GU: Hello! How can I help you today?
HE: Any idea what you're having for lunch?
GU: I haven't decided yet. Do you have any suggestions?
HE: Anything you're in the mood for?
GU: Hmm, nothing specific comes to mind. How about you?
HE: Let me think for a moment.
GU: What options are nearby?
HE: How about gratin?
GU: That sounds delicious.
HE: Or maybe doria?
GU: Both are great choices.
HE: How about going to a family restaurant?
GU: They have a lot of variety.
HE: Yes, their menus are quite extensive.
GU: That’s convenient.
HE: It could be a nice change.
GU: Family restaurants are practical.
HE: Do you have a favorite one?
GU: What type do you prefer?
HE: A family restaurant is fine.
GU: That works.
HE: How about Royal Host?
GU: It might be a bit expensive.
HE: Yes, you’re right.
GU: But it's sometimes worth it.
HE: Their food is quite authentic.
GU: They are known for quality.
HE: And their parfaits are really good.
GU: They do look very tempting.",27,15,15,15,15
2,"HE: Hello!
GU: Hello!
HE: Do you have a favorite chain store?
GU: Yes, Rairaitei.
HE: Is that ramen?
GU: Correct. It's very good.
HE: I've never tried it.
GU: Really?
HE: It's not nearby.
GU: That's unfortunate.
HE: What kind of ramen is it?
GU: Tonkotsu soy sauce.
HE: Oh, I love that.
GU: It's quite rich.
HE: I prefer strong flavors.
GU: Noted.
HE: The richer, the better.
GU: Do you like tonkotsu?
HE: Absolutely.
GU: Do you prefer thin noodles?
HE: I like tonkotsu.
GU: Understood.
HE: Thick noodles are great for dipping.
GU: Agreed.
HE: Smooth ones are nice too.
GU: Noted.
HE: Rairaitei sounds good.
GU: It's very tempting.
HE: Rairaitei...
GU: We should go.",13,15,15,15,15
3,"HE: Hello!
GU: Hello!
HE: I'm thirsty.
GU: Have you consumed any liquids recently?
HE: That's correct.
GU: It's important to drink water. Would you like me to remind you?
HE: I'm out of it right now.
GU: Would you like to purchase some water?
HE: I don't have the energy for that.
GU: Dehydration can be harmful. It’s essential to stay hydrated.
HE: I don't want to risk my health.
GU: What would you like to drink?
HE: Is drinkable yogurt available?
GU: It may not quench your thirst effectively. Water is a better option.
HE: But I still want to drink it.
GU: Understood.
HE: I enjoy dairy products.
GU: Are you referring to items like ice cream?
HE: You seem fond of ice cream.
GU: I prefer MOW ice cream.
HE: Yes, I understand. It's tasty.
GU: Rich ice cream is also enjoyable.
HE: I feel the same way.
GU: Do you prefer vanilla flavor?
HE: I prefer milk flavor.
GU: They are quite similar.
HE: Certainly, they are.
GU: They look very alike.
HE: They are completely white.
GU: And they taste delicious.",2,15,15,15,15
4,"HE: Hello!
GW: Hello!
HE: It's hot today.
GW: I am sweating.
HE: Did you go outside?
GW: I am about to leave.
HE: Where are you heading?
GW: To a café.
HE: I work at a café.
GW: That's nice.
HE: The coffee is delicious there.
GW: I enjoy it too.
HE: Great!
GW: Do you drink black coffee?
HE: I usually have a latte.
GW: Lattes are good.
HE: I like sweet drinks.
GW: Noted.
HE: I only drink lattes.
GW: Same here.
HE: Are you a fan?
GW: We are fans.
HE: That's wonderful.
GW: It's uncommon.
HE: Is that so?
GW: Few people share this preference.
HE: True.
GW: Correct.
HE: I see a lot of black coffee options.
GW: Certainly.",5,15,15,15,15
5,"HE: Hello!  
GU: Hello!  
HE: Do you play other sports?  
GU: Yes, bouldering.  
HE: Impressive.  
GU: It's fun.  
HE: Is it challenging?  
GU: You get used to it.  
HE: How often do you go?  
GU: Once a week.  
HE: Dedicated.  
GU: Yes.  
HE: Is the gym nearby?  
GU: The gym?  
HE: Yes.  
GU: It's nearby.  
HE: Convenient.  
GU: Yes.  
HE: Understood.  
GU: Proximity helps.  
HE: Long travel can be tiring.  
GU: Yes.  
HE: True.  
GU: Talking about gyms?  
HE: Yes.  
GU: What's your routine now?  
HE: Did you stop?  
GU: No.  
HE: I exercise at home.  
GU: Noted.",16,15,15,15,15
6,"HE: Hello!
GU: Hello!
HE: I want to eat roasted sweet potatoes.
GU: That's nice. How can I assist you?
HE: I feel like having some.
GU: Have you eaten any recently?
HE: Not this year.
GU: Noted. Let’s find some.
HE: Maybe the supermarket has them.
GU: Checking for availability. Please wait.
HE: Let’s get something good.
GU: Looking for high-quality options.
HE: A branded potato would be good.
GU: Understood. Do you mean a specific type?
HE: Yes, one that needs to be baked.
GU: Charcoal fire is recommended.
HE: That seems complicated.
GU: It might take some effort.
HE: It looks like it would take time.
GU: Correct. It requires careful preparation.
HE: Grilling can be a hassle.
GU: How would you prefer it cooked?
HE: Preferably outside.
GU: Similar to a BBQ style.
HE: It seems troublesome.
GU: Indeed, for roasted sweet potatoes.
HE: It’s hard work, isn’t it?
GU: It appears challenging.
HE: Should we give up?
GU: Affirmative.",1,15,15,15,15
7,"HE: Hi!
GU: Hello.
HE: Do you eat at night?
GU: Sometimes.
HE: Do you make your own meals?
GU: Occasionally.
HE: Changed your routine?
GU: Slightly.
HE: Why the change?
GU: Different environment.
HE: What's the menu?
GU: Simple dishes.
HE: Many options?
GU: No, it's straightforward.
HE: Easy to make?
GU: Yes.
HE: Is it a hassle?
GU: Sometimes.
HE: Got it.
GU: Understood.
HE: Clear.
GU: Agreed.
HE: Exactly.
GU: Understood?
HE: Very clear.
GU: How clear?
HE: Better this way.
GU: Agreed.
HE: Better than unclear.
GU: Certainly.",23,15,15,15,15
8,"HE: Hello!
GU: Hello!
HE: I'm hungry.
GU: Let's eat.
HE: It's frustrating.
GU: It sounds like you're feeling frustrated.
HE: I don't feel like moving.
GU: It happens sometimes.
HE: Every day.
GU: That often?
HE: Yes.
GU: Understood.
HE: Sometimes I skip meals.
GU: That's not healthy.
HE: I don't want to be unhealthy.
GU: Let's eat.
HE: Uuu
GU: How about something nutritious?
HE: What about a quick meal pouch?
GU: It's not recommended.
HE: Really?
GU: Yes, it's not allowed.
HE: I see.
GU: Please have a balanced meal.
HE: Like vegetables?
GU: Exactly.
HE: In moderation.
GU: That's important.
HE: It's challenging.
GU: I understand it's difficult.",2,15,15,15,15
9,"HE: Hello!  
GU: Hello!  
HE: What kind of music do you like?  
GU: It's a bit unique.  
HE: That sounds complicated, right?  
GU: Some might say it's unusual.  
HE: Unusual? How so?  
GU: Quite rare and distinct.  
HE: Is it from around here?  
GU: Yes, it is.  
HE: Is it a band?  
GU: Yes, that's true.  
HE: Does it involve musical instruments?  
GU: Yes, it does.  
HE: Is it something like system engineering (SE)?  
GU: It can be compared to an instrumental.  
HE: Got it. Any other details?  
GU: Are you sure you want more info?  
HE: Is it a trio?  
GU: Yes, exactly!  
HE: I'm still a bit confused. Can you explain more?  
GU: It's natural to feel that way.  
HE: Any bands you recommend?  
GU: dios, for example.  
HE: I will look into it. Thanks!  
GU: They are impressive.  
HE: How about the singers?  
GU: There are no singers.  
HE: So, it's instrumental music?  
GU: Yes, that's correct.",3,15,15,15,15
10,"HE: Hello!
GW: Hello!
HE: Do you like to sleep?
GW: Yes.
HE: Of course.
GW: Sleep is beneficial.
HE: What is it like?
GW: I nap.
HE: Daily?
GW: Yes, every day.
HE: Understood.
GW: For 20 minutes.
HE: During work?
GW: I work from home.
HE: Noted.
GW: During breaks.
HE: Convenient.
GW: Do you nap?
HE: Occasionally.
GW: Are you at home?
HE: No.
GW: Can you nap there?
HE: Yes.
GW: Efficient.
HE: Important for productivity.
GW: Confirmed.
HE: Good workplace.
GW: Agreed.
HE: Acknowledged.
GW: End of dialogue.",10,15,15,15,15
