Index,Dialogue,Try_Number,hhd_fs_count,hhd_ss_count,hcd_fs_count,hcd_ss_count
1,"BJ: Hello!
BS: Hello!
BJ: How often do you watch TV?
BS: Daily, during breakfast and dinner.
BJ: Do you have favorite TV shows?
BS: Kaji Yaro and Banana Man's Sekkaku Gourmet.
BJ: You enjoy comedians?
BS: Yes, and I like food. Do you watch TV?
BJ: Once or twice a week.
BS: Any regular shows?
BJ: Wednesday Downtown.
BS: It starts at 10 PM, correct?
BJ: Yes, have you seen it?
BS: Yes, it verifies different theories.
BJ: Right. Pranks are common in it.
BS: Do you prefer pranks or comedians?
BJ: Both. Do you have a favorite comedian?
BS: Sandwichman and Jiro from Sissonne.
BJ: They are great! I like them too.
BS: Sandwich Man's MC work is stable.
BJ: When they won the M1, it makes me cry every time I watch it.
BS: I'll check it out. Any other favorite comedians?
BJ: Mr. Tanaka from Ungirls.
BS: What do you find amazing about him?
BJ: He's good at quirky characters and improv, which shows he's smart.
BS: His Oogiri skills also reflect intelligence.
BJ: He's a true entertainer.
BS: I miss the Janga Janga era.
BJ: Nostalgic. Let's end here for today. Thank you.
BS: Thank you.",2,15,15,15,15
2,"BJ: Hello!
BS: Hello!
BJ: What do you do on your days off?
BS: You’ve been visiting the library often.
BJ: The library is wonderful!
BS: There’s a large library near my home.
BJ: Do you like books?
BS: Yes, I love paper books, though digital ones are fine too.
BJ: I haven't read any books recently.
BS: Are there any libraries or bookstores near you?
BJ: None at the nearest station. What kind of books do you like?
BS: Practical and self-improvement genres.
BJ: Any recommendations?
BS: ""Tsumamimeshi"" made cooking feel less like a hassle.
BJ: What’s ""Tsumamimeshi""?
BS: It’s a book by cooking expert Ryuuji.
BJ: I know Ryuuji! His recipe videos are great.
BS: Yes, this is his recipe book.
BJ: Oh, the guy who’s casual on YouTube?
BS: Yes, but he’s more professional on TV.
BJ: He has a book, that’s useful.
BS: The recipes are quick and helpful for dinner.
BJ: Is that book at the library?
BS: Yes, and they have many other recipe books.
BJ: That’s a large library. I want to visit again.
BS: They also have magazines.
BJ: It’s free. Do they have a movie section?
BS: Yes, they have DVDs.
BJ: Amazing! I’ll check it out. Thanks.
BS: Enjoy your visit.",7,15,15,15,15
3,"BJ: Hello!  
BQ: Hello.  
BJ: What do you do on your days off?  
BQ: I mostly stay home and watch subscription services.  
BJ: Like Netflix?  
BQ: Yes, recently I’ve been trying U-NEXT.  
BJ: That's great! I use U-NEXT too. I really love movies. How about you?  
BQ: I enjoy them but I'm not an expert.  
BJ: Have you watched anything interesting recently?  
BQ: I watched ""20th Century Boys.""  
BJ: The live-action one?  
BQ: Yes, with Kenji-kun.  
BJ: Oh, I saw it when it came out. Did you like it?  
BQ: I found it interesting enough to watch again.  
BJ: It brings back so many memories! Do you prefer Japanese or Western movies?  
BQ: I watch more Japanese films.  
BJ: U-NEXT is perfect for that.  
BQ: It's more expensive but has a larger variety.  
BJ: You know, you can share the subscription to save money.  
BQ: Sharing is possible? I didn’t know that.  
BJ: Yes, up to four people can split the fee. It’s a great deal!  
BQ: That’s a good deal. Can you read magazines too?  
BJ: Yes, including manga, but you usually need points.  
BQ: Are you subscribed to other services?  
BJ: I also have Netflix and Amazon.  
BQ: Many people have those. I’m subscribed to Disney Plus.  
BJ: Disney Plus has a lot of great content these days!  
BQ: The Baymax short film was good.  
BJ: Oh, I didn’t know about that. I’ll check it out.  
BQ: I recommend it.",6,15,15,15,15
4,"BJ: Hello!  
BQ: Hello.  
BJ: What is your favorite food?  
BQ: I like pork cutlets.  
BJ: Ah, I love it too.  
BQ: Do you prefer filet or loin?  
BJ: Is it fin? What about you?  
BQ: I like roast.  
BJ: The loin is more affordable and just as good, right?  
BQ: It feels bigger and like a better deal, doesn't it?  
BJ: What do you like to put on it?  
BQ: Definitely sauce.  
BJ: Sounds good. The classic choice.  
BQ: What would you like to add?  
BJ: I also like sauce, but recently I've started thinking that salt is delicious too.  
BQ: That's an interesting preference. I also like grilled meat with salt.  
BJ: That sounds more refined! It's the first time I've heard of it.  
BQ: I usually eat grilled meat with sauce, but salt is also quite good.  
BJ: I've only ever had it with sauce.  
BQ: What do you order first at a yakiniku restaurant?  
BJ: The tongue.  
BQ: I am also Tan. Everyone tends to go for it.  
BJ: Lately, I haven't been able to eat things like kalbi as much.  
BQ: I understand. The fat can be heavy. I've started ordering chicken often.  
BJ: That's true. Chicken is good too. Also, things like hormone dishes.  
BQ: I haven't tried hormone (offal) dishes yet. Are they delicious?  
BJ: I like it! Taste can be different for everyone, though.  
BQ: There are various types of hormone. Which one do you like?  
BJ: Hatsu, liver, right?  
BQ: That's a classic choice. I'm getting hungry.",1,15,15,15,15
5,"BJ: Good evening!
BQ: Good evening.
BJ: Have you eaten dinner?
BQ: Yes, I had sushi from the supermarket.
BJ: Sushi? That sounds nice.
BQ: It was delicious. What did you eat?
BJ: A Chinese rice bowl.
BQ: Was it from a restaurant?
BJ: No, it was ready-made. Not very tasty.
BQ: Quail eggs can improve it.
BJ: I like quail eggs too. There was a small one on it.
BQ: Ready-made foods come in many kinds.
BJ: Yes, and the quality is high lately. Convenience stores are impressive.
BQ: They have many good products.
BJ: Do you eat from convenience stores often?
BQ: Yes, on my days off.
BJ: They're delicious. I like Seven-Eleven the best.
BQ: I also prefer Seven-Eleven, though I dislike false bottoms in their packaging.
BJ: Prices have gone up lately.
BQ: Yes, and sometimes the quantity decreases but the price stays the same.
BJ: Exactly. The fried chicken skewer is now 180 yen.
BQ: That's quite a price jump.
BJ: It was 100 yen when I was a student.
BQ: Coffee prices have also increased.
BJ: Really? I didn't know that.
BQ: Yes, about 10 yen more. Convenience stores are already pricey.
BJ: But people still buy them.
BQ: Yes, but price increases are worrying.
BJ: Constant price increases are annoying.
BQ: True, and prices are unlikely to decrease soon.",8,15,15,15,15
6,"BJ: Good evening!
BQ: Good evening.
BJ: What do you want most right now?
BQ: I'm thinking about getting a car.
BJ: Nice! Any specific type in mind?
BQ: Maybe a sedan.
BJ: Having a car is super convenient for many things.
BQ: Do you have a dream car?
BJ: Definitely the Beetle Cabriolet.
BQ: A convertible sounds exciting and unique.
BJ: It has a cool design. I'd love to try it out someday.
BQ: Yes, it's very stylish.
BJ: Though, I'm not sure about its fuel efficiency.
BQ: Most modern cars have pretty good fuel efficiency.
BJ: I hope you get your dream car someday!
BQ: It’s a goal of mine.
BJ: You can do it! Good luck.
BQ: Thanks. How about you? What do you want most right now?
BJ: Probably money, to be honest.
BQ: Money is useful for many things.
BJ: I’m planning to get married, so it would help a lot.
BQ: Congratulations on your plans!
BJ: Thanks! But it’s challenging without enough money.
BQ: Are you concerned about the wedding costs?
BJ: Yes, that and living expenses for us.
BQ: Buying a home is a big step. I hope you both make wise decisions.
BJ: Thank you. Married life seems to be a lot of work.
BQ: Yes, it is. I'm still looking for a partner myself.
BJ: You’ll find someone special.
BQ: Thank you. I wish you and your partner lifelong happiness.",12,15,15,15,15
7,"BJ: Hello!
AU: Hello!
BJ: What did you do this morning?
AU: Took my daughter to cram school. You?
BJ: Watched a movie.
AU: Which one?
BJ: ""Forrest Gump"".
AU: Classic film.
BJ: Yes, I enjoy exploring old classics.
AU: Good way to spend time at home.
BJ: Definitely. I love movies. Do you watch them often?
AU: Watched ""Stigmatized Properties"" recently on Netflix.
BJ: Horror, nice! Was it scary?
AU: Yes, based on true events.
BJ: I saw ""Curse"" on Netflix. It was quite chilling.
AU: Haven't seen it. Is it worth watching?
BJ: Very scary, probably not for kids.
AU: Too intense for children?
BJ: Yes. Does your child handle scary movies well?
AU: No, they cling to me.
BJ: Understandable, horror can be overwhelming for kids.
AU: Any movie recommendations?
BJ: Horror or any genre?
AU: Either works.
BJ: Try ""Orphan"". It's very intense and gripping.
AU: Psychological thriller?
BJ: Yes, it's quite a human story too.
AU: Sounds good.
BJ: Highly recommend it. Thanks!
AU: I'll check it out. Thank you.",7,15,15,15,15
8,"BJ: Hello!  
AU: Hello!  
BJ: Do you have someone you look up to?  
AU: Not particularly. Do you have someone?  
BJ: I guess you could say Ichiro.  
AU: Ichiro-san, do you also like baseball?  
BJ: I used to play it in elementary school. How about you?  
AU: I'm not good at sports and I don't understand baseball. Do you go to watch games?  
BJ: I don't go often. I watch broadcasts sometimes.  
AU: My dad watched a lot of baseball on TV. I couldn't watch my favorite shows.  
BJ: That's common. Do you watch TV?  
AU: Not much. I mostly watch videos.  
BJ: Like YouTube?  
AU: Netflix and YouTube mainly. The kids have taken over Netflix during summer vacation.  
BJ: Once you start watching, you can't stop.  
AU: Yes, especially with series. Do you watch TV dramas?  
BJ: I enjoy dramas on Netflix.  
AU: I love American TV dramas. They're entertaining and relaxing.  
BJ: Any recommendations?  
AU: Have you heard of ""Fuller House""?  
BJ: I've heard of it. What's it about?  
AU: It's a modern version of the old TV drama ""Full House."" A home comedy-drama. Do you like that genre?  
BJ: I remember ""Full House."" I liked it as a kid.  
AU: It was fun back then, wasn't it?  
BJ: There's a modern version now?  
AU: Yes, the children are grown up. It's nostalgic to watch.  
BJ: That sounds interesting. I'm watching Korean dramas.  
AU: People say Korean dramas are very addictive. Any recommendations?  
BJ: ""Lawyer Woo Young-woo"" is a great series.  
AU: I'll watch it next time.",1,15,15,15,15
9,"BJ: Hello!
BL: Hello, BJ. How can I assist you today?
BJ: Is there anything you're not good at?
BL: Are you referring to food or something else?
BJ: Anything at all.
BL: I really don't like cockroaches.
BJ: Ugh, I totally get that! I can't even look at shrimp because they remind me of insects.
BL: Cockroaches have been around for ages and are hard to avoid.
BJ: Just thinking about them makes my skin crawl. How do you handle seeing one?
BL: I avoid them whenever I can.
BJ: Is there any food you don't like?
BL: I'm not a fan of raisins.
BJ: Is it because of their appearance or their taste?
BL: It's mainly the texture.
BJ: Yeah, a lot of people have issues with that. The texture can be weird.
BL: It's interesting because most people around me seem to like them.
BJ: Really? My sister used to get in so much trouble for picking them out of her raisin bread.
BL: Raisin bread and raisin butter can be difficult for some people to enjoy.
BJ: Have you ever tried rum raisin ice cream?
BL: No, I avoid that as well.
BJ: Honestly, it's pretty easy to live without eating raisins.
BL: Yes, they aren't necessary in a diet.
BJ: It's nice when people get your food dislikes. I find it hard to explain my dislike for shrimp since many people love them.
BL: Some people also dislike shrimp, but for different reasons.
BJ: Oh, what reasons have you heard?
BL: Some simply don’t like the taste.
BJ: That's rare. I actually like the taste.
BL: Preferences do vary.
BJ: Yeah, taste is so mysterious and complex.
BL: Indeed, it is.",27,15,15,15,15
10,"BJ: Hello!  
AN: Hello.  
BJ: ""Are you active on social media?""  
AN: ""I mainly observe and do not actively participate.""  
BJ: So, you have an account just to watch others.  
AN: Correct. How about you?  
BJ: I have an account but mostly browse. Sometimes it feels overwhelming.  
AN: Are there people you follow?  
BJ: Yes, but I'm thinking of limiting my use. It often makes me feel anxious.  
AN: Why does it make you feel that way?  
BJ: I check it without any reason. Do you ever find yourself doing the same?  
AN: Yes, time flies quickly.  
BJ: Exactly! It’s quite consuming and distracting.  
AN: Smartphones overall are distracting.  
BJ: ""They're very easy to depend on. I find it challenging to stay away at times.""  
AN: Yes, I use mine even during meals, and my family notices.  
BJ: That’s a strong dependency. I think I should be more mindful of my usage. What do you check?  
AN: Stock information and LINE manga.  
BJ: ""Manga and stocks? Fascinating. I enjoy exploring different genres of manga. It's a nice escape.""  
AN: Mostly manga, though.  
BJ: ""Manga content is diverse. There’s always something new to read.""  
AN: Yes, new episodes are available often.  
BJ: I've noticed that. It’s quite engaging and clever.  
AN: It's very engaging indeed.  
BJ: ""Do you play smartphone games?""  
AN: No, only Tetris long ago.  
BJ: Really? Same here. I avoid games to prevent overuse.  
AN: Online games are hard to quit.  
BJ: One must be cautious. It’s important to balance our time wisely.  
AN: Excessive use is bad for professionals.",8,15,15,15,15
